,Stock,Price,Needle strength,Compilation,URL
Lana Grossa Cool Wool Big 939 Dark Green,out of product range,"5,41","3,5-4 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-wool-big
Lana Grossa Cool Wool Big Melange 330 Antique Pink Mottled,out of product range,"5,85","3,5-4 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-wool-big-melange
Lana Grossa Cool Wool Fine 035 Old,out of product range,"5,41","2,5-3 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-wool-fine
Lana Grossa Cool Wool Melange 143 Amber Mottled,out of product range,"5,41","3,5-4 mm",100% Wolle,https://www.wollplatz.de/wolle/lana-grossa/lanagrossa-coolwoolmelange
Lana Grossa Cotton Mix 130 103 Red ,out of product range,"2,90","3,5-4 mm","50% Baumwolle, 50% Acryl",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cotton-mix-130
Lana Grossa Cotton Style 3 Camel,1 left,"5,41",8 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cotton-style
Lana Grossa Di Moda 15 Terracotta / Dark Olive / Khaki-Brown,out of product range,"6,84","5-5,5 mm","82% Viskose, 18% Polyester",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-di-moda
Lana Grossa Difuso 04,out of product range,"6,84","4-4,5 mm","75% Baumwolle, 25% Polyester ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-difuso
Lana Grossa Ecopuno 001 Lead,in stock,"8,80","4-4,5 mm","72% Baumwolle, 17% Merino, 11% Alpakawolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-ecopuno
Lana Grossa Elastico 1 White,out of stock for now,"4,87","3,5-4,5 mm","96% Baumwolle, 4% Polyester ",https://www.wollplatz.de/wolle/lana-grossa/lanagrossa-elastico
Lana Grossa Fatto 3 Burgundy,out of product range,"7,82",6 mm,"62% Merinowolle, 26% Mohair, 12% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-fatto
Lana Grossa Feltro 1 Raw White,in stock,"3,44",8 mm,100% Wolle,https://www.wollplatz.de/wolle/lana-grossa/lanagrossa-feltro
Lana Grossa Fourseason 001 Light Blue,out of product range,"9,79","5,5-6 mm","45% Wol, 40% Katoen, 15% Kasjmier",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-fourseason
Lana Grossa Fusione 006 Rose-Raw White Mixed,out of product range,"6,84","6-6,5 mm","30% Baumwolle, 26% Wolle, 25% Alpaka, 19% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-fusione
Lana Grossa Gioia 102 Purple / Light Blue / Olive / Gold / Dark Green / Red / Rose,out of product range,"9,79",3.5-4 mm,"50% Wolle, 50% Acryl",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gioia
Lana Grossa Gomitolo Aloha 302 Turquoise / Red / Pistachio / Mustard / Lavendel / Orange,3 left,"9,79","4,5-5 mm","50% Baumwolle, 50% Viskose",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-aloha
Lana Grossa Gomitolo Denim 017 Yellow-Green,out of product range,"24,54","3,5-4 mm","80% Baumwolle, 20% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-denim
Lana Grossa Gomitolo Duo 250 901 Raw White/Light Gray/Medium Gray/Dark Gray,out of product range,"9,79",3-4 mm,"45% Wol, 30% Viscose, 25% Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-duo-250
Lana Grossa Gomitolo Duo 400 803 Natural/Peach/Salmon/Orange/Taupe,out of product range,"9,79","2,5-3 mm","45% Wol, 30% Viscose, 25% Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-duo-400
Lana Grossa Gomitolo Mezzo 121 Orange / Light green / Pink / Purple / Rose / Turquoise / Petrol,out of product range,"3,88",6 mm,"50% Polyacryl, 50% Wol",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-mezzo
Lana Grossa Gomitolo Molto 603,out of product range,"17,65","4,5-5 mm","60% Wolle, 40% Polyacryl ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-molto
Lana Grossa Gomitolo Puno 002 Beige / Rose,out of product range,"24,54",4 mm,"70% Baumwolle, 19% Merinowolle, 11% Alpakawolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-puno
Lana Grossa Gomitolo Silkhair 202,out of product range,"29,01","4,5 - 5 mm","65% Mohair, 30% Seide, 5 % Merinowolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-silkhair
Lana Grossa Gomitolo Summer Tweed 014 Light-/ Dark Gray / Anthracite / Beige / Taupe / Ecru,out of product range,"11,75","3,5-4 mm","72% Baumwolle, 20% Viskose, 8% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-summer-tweed
Lana Grossa Lala Berlin Chunky 003 Lobster,1 left,"8,80",8-9 mm,"80% Wolle, 15% Seide, 5% Polyamid ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-lala-berlin-chunky
Lana Grossa Lala Berlin Furry 001 Raw White,out of product range,"7,82",8-10 mm,"90% Alpakawolle, 10% Polyamid ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-lala-berlin-furry
Lana Grossa Lala Berlin Lovely Cashmere 001 Yolk Yellow,out of product range,"9,79",8-10 mm,"60% Kaschmir, 25% Polyamid, 15% Wolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-lala-berlin-lovely-cashmere
Lana Grossa LaLa Berlin Lovely Fine Tweed 102 Beige,out of product range,"8,80",7 mm,"37% Alpaca, 35% Polyamide, 26% Merino wol, 2% Viscose",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-lala-berlin-lovely-fine-tweed
Lana Grossa Lala Berlin Softness 23 ,out of product range,"7,82",9 mm,"40% Polyamide, 40% Wol, 20% Mohair",https://www.wollplatz.de/artikel/34422/lana-grossa-lala-berlin-softness.html
Lana Grossa Landlust Merino 120 102,7 left,"7,82",7-8 mm,"94% Merino wol, 6% Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-landlust-merino-120
Lana Grossa Landlust Merino 180 202 Pastel Pink,out of product range,"7,82",5 mm,"94% Merino wol, 6% Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-landlust-merino-180
Lana Grossa Landlust Sommerseide 001 White,in stock,"6,84","3,5-4 mm","50% Seide, 50% Baumwolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-landlust-sommerseide
Lana Grossa Linarte 04 Taupe ,out of product range,"4,43","4-4,5 mm","40% Viskose, 30% Baumwolle, 20% Leinen, 10% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-linarte
Lana Grossa Lunare 2,out of product range,"5,85",6-7 mm,"58% Polyester, 42% Katoen",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-lunare
Lana Grossa Mary's Tweed 012 Gray Blue Mottled,out of product range,"7,82",5 mm,"33% Alpakawolle, 30% Wolle, 25% Polyamid, 11% Seide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-marys-tweed
Lana Grossa Meilenweit 100 1:1 Riga 611 Sand/Green/Orange,out of product range,"7,82","2,5-3 mm","80%Wol, 20%Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-1-1-riga
Lana Grossa Meilenweit 100 Cotton Bamboo Spot 2355,out of product range,"7,82",2.5-3 mm,"40% Baumwolle, 25% Wolle, 20% Bambus, 8% Polyamid, 7% Polyester",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-cotton-bamboo-spot
Lana Grossa Meilenweit 100 Soja 001,out of product range,"7,82","2,5-3 mm","60% Wol, 20% Polyamide, 20% Soja (Viscose)",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-soja
Lana Grossa Meilenweit 6-Fach 150 Mélange 8853,in stock,"9,79",3-4 mm,"80% Wolle, 20% Polyamid ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-6-fach150-melange
Lana Grossa Meilenweit 6-Fach 150 Tweed 8816,in stock,"10,77",3-4 mm,"80% Wolle, 20% Polyamid ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-6-fach-150-tweed
Lana Grossa Meilenweit 6-Fach 150 Unito 8814,in stock,"9,79",3-4 mm,"80% Wolle, 20% Polyamid ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-6-fach-150-unito
Lana Grossa Merino Uno 001 White,in stock,"4,43","4,5-5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-merino-uno
Lana Grossa Mia 001 Nature,1 left,"6,84","5-5,5 mm","30% Mohair, 26% Wolle, 25% Seide, 19% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-mia
Lana Grossa Micio 4,8 left,"6,84",7-8 mm,"25% Polyamide, 60% Wol, 15% Kamelenhaar",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-micio
Lana Grossa Mirror Shades 705,out of product range,"24,54",4-5 mm,"50% Baumwolle, 50% Merinowolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-mirror-shades
Lana Grossa Mohairnuovo 04,4 left,"5,85",6 mm,"12% Polyamid, 44% Alpakawolle, 44% Mohair",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-mohairnuovo
Lana Grossa Olympia 26,in stock,"7,82",8-10 mm,"53% Wolle, 47% Acryl",https://www.wollplatz.de/wolle/lana-grossa/lanagrossa-olympia
Lana Grossa Organico Uni 006 Ecru,in stock,"4,87","5-5,5 mm",100% Biologische Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-organico-uni
Lana Grossa Piuma 009 Jeans / Marine / Grey / Black,out of product range,"7,82",7-8 mm,"75% Wolle, 15% Alpakawolle, 10% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-piuma
Lana Grossa Ragazza Lei Uni 28 Night Blue,out of product range,"3,88",12 mm,100% Wolle,https://www.wollplatz.de/wolle/lana-grossa/lanagrossa-ragazzaleiuni
Lana Grossa Scala 06,23 left,"6,39",6 mm,"39% Polyacryl, 27% Wolle, 22% Polyester, 12% Viskose",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-scala
Lana Grossa Seta 5,out of product range,"9,79",5-6 mm,"40% Baumwolle, 60% Seide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-seta
Lana Grossa Shades Of Cotton 111,out of product range,"19,62","3,5-4 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-shades-of-cotton
Lana Grossa Silkhair 12 Dark Gray,in stock,"8,80","4,5-5 mm","70% Mohair, 30% Seide",https://www.wollplatz.de/wolle/lana-grossa/lanagrossa-silkhair
Lana Grossa Slow Wool Lino 012 Medium Blue,out of product range,"13,72","3,5-4 mm","85% Merinowolle, 15% Leinen ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-slow-wool-lino
Lana Grossa Soft Cotton 001 Apricot,in stock,"3,88","3,5-4,5 mm","70% Baumwolle, 30% Polyacryl ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-soft-cotton
Lana Grossa Soft Cotton Big 1 White,out of product range,"3,88","5,5-6 mm","70% Baumwolle, 30% Acryl ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-soft-cotton-big
Lana Grossa Solo Lino 1 White,in stock,"5,41","3,5-4 mm","80% Gerecycleerde linnen (Viscose), 20% Linnen",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-solo-lino
Lana Grossa Sparkly 004 Pale Pink / Bright Pink / Purple / Green,out of product range,"6,84",6-7 mm,"82% Katoen, 18% Polyester",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-sparkly
Lana Grossa Stromboli 101 Ecru,out of product range,"5,85",3-4 mm,"60% Baumwolle, 15% Polyamid, 15% Viskose, 10% Seide ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-stromboli
Lana Grossa Tre Seta 002,out of product range,"9,79","4,5-5 mm","40% Wolle, 35% Seide, 20% Alpakawolle, 5% Viskose",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-tre-seta
Lana Grossa Tropico 002 Bright Pink / Rose / Orange / White / Salmon,out of product range,"7,82",5 mm,"70% Baumwolle, 30% Merinowolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-tropico
Lana Grossa Tutti 17 Light Blue / Orange / Beige / Royal / Anthracite,out of product range,"19,62",5 mm,"25% Mohair, 25% Alpaka, 20% Schurwolle, 30% Nylon",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-tutti
Lana Grossa Twisted Merino Cotton 506,out of product range,"29,45",4-5 mm,"50% Baumwolle, 50% Merinowolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-twisted-merino-cotton
Lana Grossa Twisted Summer Shades 1105,out of product range,"24,54","3,5-4 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-twisted-summer-shades
Lang Yarns Alpaca Superlight 003,in stock,"5,41","3,5 - 4 mm","54% Alpakawolle, 24% Polyamid, 22% Wolle",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-alpaca-superlight
Lang Yarns Amira 001 White,out of stock for now,"7,82","5,5-6 mm","93% Baumwolle, 7% Polyamid ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-amira
Lang Yarns Angelina 003 Light Grey,out of product range,"7,82","4,5 mm","60% Seide, 40% Merinowolle ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-angelina
Lang Yarns Ayumi 11 Ocher,13 left,"22,57","2,5-3,5 mm","77% Baumwolle, 23% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-ayumi
Lang Yarns Baby Cotton 009 Rose,out of product range,"4,87","2,5-3 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-baby-cotton
Lang Yarns Bloom 044 Limon-Jade,out of product range,"17,65","3-3,5 mm","70% Baumwolle, 18% Viskose, 12% Leinen ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-bloom
Lang Yarns Canapa 4 Black,out of product range,"4,87",3 mm,100% Hanf,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-canapa
NEW - Lang Yarns Carina 003 Light Grey,15 left,"8,80","5-5,5 mm","63% Alpakawolle, 37% Nylon ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-carina
Lang Yarns Carpe Diem 004 Black,in stock,"7,82",6 mm,"70% Merinowol, 30% Alpaca",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-carpe-diem
Lang Yarns Cashmerino for Babies and More 015 Nougat,out of product range,"6,84","3-3,5 mm","55% Merinowolle, 33% Acryl, 12% Kaschmir ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-cashmerino-for-babies-and-more
Lang Yarns Corso 9,5 left,"6,84","4,5-5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-corso
Lang Yarns Dipinto 5 Grey,out of product range,"9,79","3 - 3,5 mm","50% Wolle, 50% Acryl",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-dipinto
Lang Yarns Divina 001 White,out of product range,"7,82",4 mm,"50% Modal, 40% Baumwolle, 10% Seide",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-divina
Lang Yarns Donegal 011 Mustard,out of product range,"10,77","3,5-4 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-donegal
Lang Yarns Ella 1 White,out of product range,"5,85","4,5-5 mm","38% Baumwolle, 30% Polyester, 26% Viskose, 6% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-ella
Lang Yarns Gaia 04 Black,2 left,"5,41",3-4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-gaia
Lang Yarns Janet 001 White,22 left,"5,85","4-4,5 mm","50% Baumwolle, 50% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-janet
Lang Yarns Jawoll Superwash 1 White,in stock,"4,67","2,5 - 3,5 mm","75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/sockenwolle/lang-yarns-jawoll-superwash
Lang Yarns Kim 5,2 left,"6,39",10-12 mm,,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-kim
Lang Yarns Kylie 022 Sand,out of product range,"7,82",4 mm,"56% Baumwolle, 25% Seide, 13% Wolle, 6% Viskose ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-kylie
Lang Yarns Lace 58 Light Mint,out of product range,"12,74","3-3,5 mm","58% Mohair, 42% Seide ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-lace
Lang Yarns Wooladdicts Liberty 001 White,in stock,"6,84",6 mm,100% Katoen (Pima),https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-wooladdicts-liberty
Lang Yarns Lino 60 Red,out of product range,"8,06","4,5-5 mm",100% Leinen,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-lino
Lang Yarns Luna 005 Grey Melange,out of product range,"9,79",6-7 mm,"90% Alpakawolle, 10% Polyamid ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-luna
Lang Yarns Lusso 61,out of product range,"9,79","3 - 3,5 mm","36% Merino wol, 27% Zijde, 19% Kameel, 18% Mohair",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-lusso
Lang Yarns Malou 9 Rose,13 left,"9,79",7-8 mm,"70% Baby Alpaca, 10% Wol, 20% Polyamide",https://www.wollplatz.de/wolle/lang-yarns/langyarns-malou
Lang Yarns Malou Light 3 Light Grey,17 left,"12,74","4,5-5 mm","72% Baby Alpakawolle, 16% Polyamid, 12% Wolle",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-malou-light
Lang Yarns Marlene 024 Grey,out of product range,"5,85","4-4,5 mm","70% Baumwolle, 30% Polyamid ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-marlene
Lang Yarns Merino 120 001 White,in stock,"5,85","3,5-4,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-merino-120
Lang Yarns Merino 130 Compact 04 Black,out of product range,"6,84","3,5-4 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-merino-130-compact
Lang Yarns Merino 150 001 White,in stock,"5,85","3-3,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-merino-150
Lang Yarns Merino 200 Bebe 301 White,in stock,"5,85","2,5-3,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-merino-200-bebe
Lang Yarns Merino+ 001 White,out of stock for now,"5,85","4,5-5,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-merino
Lang Yarns Mille Colori 200 Gr. 65,out of product range,"19,62",6 mm,"50% Wolle, 50% Polyacryl",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-mille-colori-200-gr
Lang Yarns Mille Colori Socks & Lace Luxe 03 Light Grey/Anthracite/Silver,out of product range,"11,75","2,5-3,5 mm","73% Schurwolle, 25% Polyamid, 2% Polyester ",https://www.wollplatz.de/wolle/sockenwolle/langyarns-mille-colori-socks-lace-luxe
Lang Yarns Milton 6 Blue/Green/Red,out of product range,"9,79","3,5-4 mm","37% Baumwolle, 36% Acryl, 27% Viskose",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-milton
Lang Yarns Mohair Luxe 6 ,out of product range,"9,79","3-3,5 mm","77% Mohair, 23% Seide",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-mohair-luxe
Lang Yarns Mohair Trend 5,out of product range,"9,79","5-5,5 mm","70% Mohair, 30% Seide",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-mohair-trend
Lang Yarns Mulberry Silk 017 Green,out of product range,"16,67",3-3.5 mm,100% Seide,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-mulberry-silk
Lang Yarns Nova 26 Beige,out of product range,"7,82","4,5-5 mm",48% Merino - 32% Kameel (baby) - 20% Polyamide,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-nova
Lang Yarns Novena 5 Dark Grey,out of product range,"4,43","4,5-5 mm","50% Merinowolle, 30% Baby Alpakawolle, 20% Nylon",https://www.wollplatz.de/wolle/lang-yarns/langyarns-novena
Lang Yarns Omega 001 White,out of product range,"3,15","3,5-4,5 mm","50% Polyamid, 50% Acryl",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-omega
Lang Yarns Origami 26,9 left,"6,39","4,5-5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-origami
Lang Yarns Passione 4 Black,out of product range,"5,41",4.5 mm,"82% Alpakawolle, 16% Polyamid, 2% Elastan ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-passione
Lang Yarns Puno 061 Red,out of product range,"49,08","2,5-3 mm","55% Merino Wol, 30% Baby Alpaca, 15% Zijde",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-puno
Lang Yarns Quattro 001 White,in stock,"2,70",3-4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-quattro
Lang Yarns Soft Cotton 001 White,in stock,"5,41","4-4,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-soft-cotton
Lang Yarns Softhair 13,19 left,"9,79",10-12 mm,"82% Viscose, 18% Nylon",https://www.wollplatz.de/wolle/lang-yarns/langyarns-softhair
Lang Yarns Stockholm 4 Black,out of product range,"3,88","4,5 - 5 mm","60% Wolle, 40% Polyacryl ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-stockholm
Lang Yarns Super Soxx Color 4-PLY 219,out of product range,"7,82","2,5-3,5 mm","75% Schurwolle, 25% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-super-soxx-4-ply
Lang Yarns Tissa 001 White,in stock,"4,43","3,5-4,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-tissa
Lang Yarns Twin Soxx Streetsoxx 4-PLY 239 Orange Mix,in stock,"8,36","2,5-3,5 mm","75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-twin-soxx-streetsoxx-4-ply
Lang Yarns Valerie 051 Multicolour Bordeaux/Yellow/Blue,1 left,"8,80","4 - 4,5 mm","66% Schurwolle, 34% Nylon ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-valerie
Lang Yarns Viva 51 Multicolor Orange/Green/Pink,out of product range,"6,84","4,5-5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-viva
Lang Yarns Wooladdicts Air 003 Light Grey Mélange,out of product range,"7,82","5 - 5,5 mm","84% Merino wol, 16% Polyamide",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-air
Lang Yarns Wooladdicts Earth 003 Light Grey Mélange,out of product range,"6,84","5,5 - 6 mm","50% Alpaca wol, 35% Acryl, 15% Wol",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-earth
Lang Yarns Wooladdicts Faith 003 Light Grey Mélange,93 left,"9,79","5,5 mm","77% Merinowolle, 23% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-wooladdicts-faith
Lang Yarns Wooladdicts Fire 003 Light Grey Mélange,out of product range,"16,67",9 mm,"98% Merinowolle, 2% Polyester ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-fire
Lang Yarns Wooladdicts Happiness 001 White,7 left,"7,82","5-5,5 mm","65% Baumwolle, 35% Polyamid ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-wooladdicts-happiness
Lang Yarns Wooladdicts Love 004 Black,out of product range,"4,51",4 mm,"92% Merinowolle, 8% Polyamid ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-love
Lang Yarns Wooladdicts Respect 003 Light Grey Mélange,out of product range,"7,82",5 mm,"42% Merinowolle, 30% Alpakawolle, 28% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-wooladdicts-respect
Lang Yarns Wooladdicts Sunshine 001 White,2 left,"7,38","4,5-5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarnslang-yarns-wooladdicts-sunshine
Lang Yarns Wooladdicts Trust 003 Light Grey Mélange,172 left,"9,79",8 mm,"55% Alpakawolle, 45% Merinowolle",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-wooladdicts-trust
Lang Yarns Wooladdicts Water 003 Light Grey Mélange,3 left,"10,77","4,5 - 5 mm",100% Alpakawolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-water
Lang Yarns Yara 15,1 left,"8,80","4-4,5 mm","41% Katoen, 33% Mohair,14% Merino wol, 11% Polyamide, 1% Elastaan",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-yara
Lang Yarns Young 85 Pink/Orange,out of product range,"18,64",20 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-young
Phildar Frimas 1044 Pourpre,2 left,"5,69","5,5-6 mm","50% Baumwolle, 50% Wolle",https://www.wollplatz.de/wolle/phildar/phildar-frimas
Phildar Lambswool 1005 Eglantne,out of product range,"3,92","2,5-3 mm","51% Lammwolle, 49% Acryl",https://www.wollplatz.de/wolle/phildar/phildar-lambswool51
Phildar Nebuleuse 1 Tomette ,19 left,"5,69",6-7 mm,"41% Wolle, 41% Acryl, 18% Polyamid",https://www.wollplatz.de/wolle/phildar/phildar-nebuleuse
Phildar Partner 3.5 1002 Berlingot,in stock,"3,92","3-3,5 mm","50% Polyamid, 25% Wolle, 25% Acryl",https://www.wollplatz.de/wolle/phildar/phildar-partner3-5
Phildar Partner 6 1005 Grenadine,in stock,"3,92",5-6 mm,"50% Polyamid (Nylon), 25% Wolle, 25% Acryl",https://www.wollplatz.de/wolle/phildar/phildar-partner6
Phildar Partner Baby 1044 Meringue,out of product range,"3,53","2-2,5 mm","50% Polyamid (Nylon), 25% Wolle, 25% Acryl",https://www.wollplatz.de/wolle/phildar/phildar-partnerbaby
Phildar Phil Air Perou 1447 Flanelle,2 left,"9,04",6 mm,"70% Alpakawolle, 7% Wolle, 23% Polyamid",https://www.wollplatz.de/wolle/phildar/phildar-phil-air-perou
Phildar Phil Baby Doll 1019 Zeste,out of product range,"5,20",4 mm,"60% Polyamid, 40% Baumwolle ",https://www.wollplatz.de/wolle/phildar/phildar-phil-baby-doll
Phildar Phil Beaugency 1015 Glacier,out of product range,"5,50",5 mm,"55% Nylon, 25% Acryl, 20% Wolle",https://www.wollplatz.de/wolle/phildar/phildar-phil-beaugency
Phildar Phil Brillant 1045 Or,out of product range,"3,43","2,5-3 mm","85% Viskose, 15% Polyester",https://www.wollplatz.de/wolle/phildar/phildar-phil-brillant
Phildar Phil Cabotine 1004 Faience,out of product range,"3,53",3.5 mm,"55% Acryl, 45% Baumwolle",https://www.wollplatz.de/wolle/phildar/phildar-phil-cabotine
Phildar Phil Caresse 1089 Fjord,out of product range,"3,92",4 mm,"51% Acryl, 49% Polyamid",https://www.wollplatz.de/wolle/phildar/phildar-phil-caresse
Phildar Phil Charme 2333 Havane,2 left,"6,09","3,5-4 mm","50% Mohair, 50% Acryl",https://www.wollplatz.de/wolle/phildar/phildar-phil-charme
Phildar Phil Corde 1038 Grenadine,out of product range,"8,64",7 mm,100% Baumwolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-corde
