,Stock,Price,Needle strength,Compilation,URL
Stylecraft Wondersoft Merry Go Round DK 3119 Pink/Lilac,in stock,"5,65",4 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-wondersoft-merry-go-round-dk
Stylecraft Special XL Tweed Super Chunky 1099 Grey,in stock,"4,13",10 mm,"97% Premium Acryl, 3% Viskose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-xl-tweed-super-chunky
Stylecraft Special for Babies Aran 1230 Pink,in stock,"3,39",5 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-for-babies-aran
Stylecraft Special Chunky 1001 White,in stock,"3,05",6 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-chunky
Stylecraft Special Aran with Wool - Marl shades 5512 Magpie Marl,in stock,"16,52",5 mm,"77% Premium Acryl, 20% Wol, 3% Viscose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-aran-with-wool-marl-shades
Stylecraft Special Aran with Wool - Nepp shades 2429 Duck Egg Nepp,in stock,"16,52",5 mm,"77% Premium Acryl, 20% Wol, 3% Viscose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-aran-with-wool-nepp-shades
Stylecraft Special Aran with Wool 2424 Ocean,in stock,"16,52",5 mm,"80% Premium Acryl, 20% Wol",https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-aran-with-wool
Stylecraft Special Aran 1001 White,in stock,"3,05",5 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-aran
Stylecraft Softie Chunky 2132 Indigo,in stock,"5,02",6 -7 mm,"80% Premium Acryl, 20% Wol",https://www.wollplatz.de/wolle/stylecraft/stylecraft-softie-chunky
Stylecraft ReCreate DK 1941 Ecru,in stock,"5,31",4 mm,"40% Wolle, 30% Acryl, 30% Polyester",https://www.wollplatz.de/wolle/stylecraft/stylecraft-recreate-dk
Stylecraft Naturals - Organic Cotton DK 7168 Gypsum,in stock,"3,39",4 mm,100% Biologische Baumwolle,https://www.wollplatz.de/wolle/stylecraft/stylecraft-naturals-organic-cotton-dk
Stylecraft Naturals - Bamboo + Cotton DK 7125 Citronelle,in stock,"6,39","3,5 mm",,https://www.wollplatz.de/wolle/stylecraft/stylecraft-naturals-bamboo-plus-cotton-dk
Stylecraft Life Super Chunky - Nepp shades 2298 Duck Egg Nepp,in stock,"5,02",10 mm,"72% Premium Acryl, 25% Wol, 3% Viscose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-super-chunky-nepp-shades
Stylecraft Life Super Chunky 1595 Silver,in stock,"4,67",10 mm,"75% Premium Acryl, 25% Wolle",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-super-chunky
Stylecraft Life Chunky 2301 Rose,in stock,"4,67",6 mm,"75% Premium Acryl, 25% Wolle",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-chunky
Stylecraft Life Aran 2301 Rose,in stock,"4,67",5 mm,"75% Premium Acryl, 25% Wolle",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-aran
Stylecraft Highland Heathers Aran 3743 Gorse,in stock,"4,08",5 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-highland-heathers-aran
Stylecraft Bellissima Chunky 3924 Raspberry Riot,in stock,"4,08",6 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bellissima-chunky
Stylecraft Life DK - Nepp shades 2298 Duck Egg Nepp,in stock,"5,02",4 mm,"72% Premium Acryl, 25% Wol, 3% Viscose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-dk-nepp-shades
Stylecraft Batik Swirl DK 3730 Purple Mist,in stock,"12,98",4 mm,"80% Premium Acryl, 20% Wol",https://www.wollplatz.de/wolle/stylecraft/stylecraft-batik-swirl-dk
Stylecraft Bambino Prints DK 1236 Rocking Horse,in stock,"4,33",4 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bambino-prints-dk
DMC Pirouette 694,in stock,"12,05",5 mm,100% Acryl,https://www.wollplatz.de/wolle/dmc/dmc-pirouette
DMC Brio 400,out of stock for now,"5,61",4 mm,"80% Acryl, 20% Wolle",https://www.wollplatz.de/wolle/dmc/dmc-brio
Gütermann Nähgarnset Allesnähgarn rPET - 10 Spulen,in stock,"21,54",no data,100% Gerecycled Polyester,https://www.wollplatz.de/wolle/gutermann/guetermann-naehgarnset-allesnaehgarn-rpet-10-spulen
DMC 517 Mouliné Coloris Stickgarn 8m 4500,in stock,"1,87",no data,no data,https://www.wollplatz.de/wolle/dmc/dmc-517-mouline-coloris-stickgarn-8m
Gütermann Nähgarnset Allesnähgarn rPET - 20 Spulen,in stock,"43,17","0,6 mm",100% Polyester,https://www.wollplatz.de/wolle/guetermann-naehgarnset-allesnaehgarn-rpet-20-spulen
Gütermann Nähgarnset Jeans - 5 Spulen,in stock,"14,85",no data,no data,https://www.wollplatz.de/wolle/gutermann/guetermann-naehgarnset-jeans-5-spulen
Gütermann Nähgarnset Allesnähgarn - 20 Spulen,in stock,"39,78",no data,100% Polyester,https://www.wollplatz.de/wolle/gutermann/guetermann-naehgarnset-allesnaehgarn-20-spulen
Gütermann Nähgarnset Allesnähgarn - 10 Spulen,in stock,"19,33",no data,100% Polyester,https://www.wollplatz.de/wolle/gutermann/guetermann-naehgarnset-allesnaehgarn-10-spulen
DMC 1008F Mouliné Satin Stickgarn 8m S310,out of stock for now,"2,31",no data,no data,https://www.wollplatz.de/wolle/dmc/dmc-1008f-mouline-satin-stickgarn-8m
Gütermann Nähgarnset Denim - 6 Spulen,in stock,"12,74",no data,100% Polyester,https://www.wollplatz.de/wolle/gutermann/guetermann-naehgarnset-denim-6-spulen
DMC 317W Mouliné Metallise Stickgarn 8m E130,in stock,"3,39",no data,no data,https://www.wollplatz.de/wolle/dmc/dmc-317w-mouline-metallise-stickgarn-8m
DMC 417F Mouliné Variation Stickgarn 8m 4025,out of stock for now,"2,11",no data,no data,https://www.wollplatz.de/wolle/dmc/dmc-417f-mouline-variation-stickgarn-8m
