,stock,price,needle strength,compilation,url
Stylecraft Special Aran 1001 White,"
Lieferbar
","3,05",5 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-aran
Stylecraft Softie Chunky 2132 Indigo,"
Lieferbar
","5,02",6 -7 mm,"80% Premium Acryl, 20% Wol",https://www.wollplatz.de/wolle/stylecraft/stylecraft-softie-chunky
Stylecraft ReCreate DK 1941 Ecru,"
Lieferbar
","5,31",4 mm,"40% Wolle, 30% Acryl, 30% Polyester",https://www.wollplatz.de/wolle/stylecraft/stylecraft-recreate-dk
Stylecraft Naturals - Organic Cotton DK 7168 Gypsum,"
Lieferbar
","3,39",4 mm,100% Biologische Baumwolle,https://www.wollplatz.de/wolle/stylecraft/stylecraft-naturals-organic-cotton-dk
Stylecraft Naturals - Bamboo + Cotton DK 7125 Citronelle,"
Lieferbar
","6,39","3,5 mm",,https://www.wollplatz.de/wolle/stylecraft/stylecraft-naturals-bamboo-plus-cotton-dk
Stylecraft Life Super Chunky - Nepp shades 2298 Duck Egg Nepp,"
Lieferbar
","5,02",10 mm,"72% Premium Acryl, 25% Wol, 3% Viscose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-super-chunky-nepp-shades
Stylecraft Life Super Chunky 1595 Silver,"
Lieferbar
","4,67",10 mm,"75% Premium Acryl, 25% Wolle",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-super-chunky
Stylecraft Life Chunky 2301 Rose,"
Lieferbar
","4,67",6 mm,"75% Premium Acryl, 25% Wolle",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-chunky
Stylecraft Life Aran 2301 Rose,"
Lieferbar
","4,67",5 mm,"75% Premium Acryl, 25% Wolle",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-aran
Stylecraft Highland Heathers Aran 3743 Gorse,"
Lieferbar
","4,08",5 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-highland-heathers-aran
Stylecraft Bellissima Chunky 3924 Raspberry Riot,"
Lieferbar
","4,08",6 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bellissima-chunky
Stylecraft Life DK - Nepp shades 2298 Duck Egg Nepp,"
Lieferbar
","5,02",4 mm,"72% Premium Acryl, 25% Wol, 3% Viscose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-dk-nepp-shades
Stylecraft Batik Swirl DK 3730 Purple Mist,"
Lieferbar
","12,98",4 mm,"80% Premium Acryl, 20% Wol",https://www.wollplatz.de/wolle/stylecraft/stylecraft-batik-swirl-dk
Stylecraft Bambino Prints DK 1236 Rocking Horse,"
Lieferbar
","4,33",4 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bambino-prints-dk
DMC Pirouette 694,"
Lieferbar
","12,05",5 mm,100% Acryl,https://www.wollplatz.de/wolle/dmc/dmc-pirouette
DMC Brio 400,"
Halten Sie mich auf dem Laufenden Senden Sie mir eine E-Mail, wenn das Produkt verfügbar ist
Senden

","5,61",4 mm,"80% Acryl, 20% Wolle",https://www.wollplatz.de/wolle/dmc/dmc-brio
Gütermann Nähgarnset Allesnähgarn rPET - 10 Spulen,"
Lieferbar
","21,54",no data,100% Gerecycled Polyester,https://www.wollplatz.de/wolle/gutermann/guetermann-naehgarnset-allesnaehgarn-rpet-10-spulen
DMC 517 Mouliné Coloris Stickgarn 8m 4500,"
Lieferbar
","1,87",no data,no data,https://www.wollplatz.de/wolle/dmc/dmc-517-mouline-coloris-stickgarn-8m
